Date,Category,Description,Amount
2025-01-02,Education,BIT Mesra Semester Fee,85000
2025-01-03,Transport,Flight Bangalore to Ranchi,4500
2025-01-03,Transport,Airport Taxi Ranchi,450
2025-01-05,Food,Hostel Mess Fee,12000
2025-01-06,Shopping,Zudio Winter Clothes,1800
2025-01-08,Food,Domino's Pizza with friends,650
2025-01-10,Medical,Health Checkup,1200
2025-01-12,Transport,Auto to City Center,80
2025-01-15,Food,CCD Coffee Date,320
2025-01-18,Shopping,Stationery & Books,890
2025-01-20,Entertainment,Movie PVR Ranchi,450
2025-01-22,Food,McDonald's,380
2025-01-25,Transport,Train Ticket Home Visit,1200
2025-01-28,Food,Local Restaurant,250
2025-01-30,Shopping,Lifestyle Store Jacket,2200
2025-02-01,Food,Swiggy Order,420
2025-02-03,Transport,Ola Ride,150
2025-02-05,Medical,Pharmacy Medicines,340
2025-02-08,Food,Birthday Treat KFC,850
2025-02-10,Shopping,Zudio Casual Wear,1650
2025-02-12,Entertainment,Gaming Zone,600
2025-02-15,Food,Biryani Special,380
2025-02-18,Transport,Bus Ticket Ranchi-Jamshedpur,320
2025-02-20,Shopping,Online Shopping Myntra,2400
2025-02-22,Food,Street Food,180
2025-02-25,Medical,Eye Checkup,800
2025-02-28,Food,Restaurant Dinner,680
2025-03-02,Transport,Flight Ranchi to Bangalore,4800
2025-03-02,Transport,Uber from Airport Bangalore,380
2025-03-05,Food,Breakfast Cafe,280
2025-03-08,Shopping,Lifestyle Store Bangalore,1950
2025-03-10,Food,South Indian Restaurant,450
2025-03-12,Entertainment,Bowling Bangalore,750
2025-03-15,Food,Swiggy Lunch,320
2025-03-18,Transport,Metro Card Recharge,500
2025-03-20,Medical,Dental Checkup,1500
2025-03-22,Food,Pizza Hut,590
2025-03-25,Shopping,Zudio Summer Collection,1400
2025-03-28,Food,Chinese Restaurant,480
2025-03-30,Transport,Ola to Mall,200
2025-04-01,Food,April Fool's Party,1200
2025-04-03,Shopping,Electronics Croma,3500
2025-04-05,Food,Breakfast Place,350
2025-04-08,Transport,Bus Pass Monthly,800
2025-04-10,Medical,Blood Test,650
2025-04-12,Food,Lunch with Family,850
2025-04-15,Entertainment,Concert Tickets,2000
2025-04-18,Food,Evening Snacks,180
2025-04-20,Shopping,Lifestyle Formal Wear,2800
2025-04-22,Food,Weekend Brunch,720
